"","pol_knowledge","likelihood_vote","know1","know2","know3","know4","know5","know6","know7","know8","know9","know10","general_internet","election_internet","internet_skills","int_attch","int_post","int_blog","int_down","election_newspaper","election_tv","election_radio","female","highest_qual","tertiary_ed","country_birth","aust_born","age","income","rural_urban","interest_pol","age_cat","age_18_24","weight","know1_correct","know2_correct","know3_correct","know4_correct","know5_correct","know6_correct","know7_correct","know8_correct","know9_correct","know10_correct","income_quintiles"
"762",6,5,3,1,2,1,1,3,3,5,3,3,1,3,2,1,NA,NA,1,2,1,2,0,1,0,3,0,39,22,5,1,3,0,1.33131099512729,0,1,1,1,0,0,1,0,1,1,5
"763",9,5,1,2,2,1,2,2,3,2,3,3,1,3,3,1,1,NA,1,3,1,4,0,2,1,1,1,63,11,1,1,5,0,0.775071484076463,1,0,1,1,1,1,1,1,1,1,3
"764",4,5,1,2,1,3,1,2,3,3,3,1,1,3,3,1,1,NA,1,2,2,1,1,3,1,1,1,45,20,5,1,4,0,0.786884102819322,1,0,0,0,0,1,1,0,1,0,5
"765",6,4,1,3,2,3,1,2,3,2,5,3,1,3,3,1,1,NA,1,2,2,3,0,1,0,11,0,59,15,5,3,5,0,0.765687974011235,1,0,1,0,0,1,1,1,0,1,4
"766",0,4,3,3,3,3,3,3,5,5,5,5,4,5,1,NA,NA,NA,1,3,2,NA,0,7,0,1,1,20,3,4,3,1,1,1.81544257035103,0,0,0,0,0,0,0,0,0,0,1
"767",8,4,1,1,3,1,3,2,3,2,3,3,1,3,3,1,1,NA,1,2,1,1,1,3,1,12,0,38,19,5,2,3,0,1.07993347241759,1,1,0,1,0,1,1,1,1,1,5
"768",10,5,1,1,2,1,2,2,3,2,3,3,1,3,2,1,NA,NA,1,2,2,3,0,3,1,1,1,62,NA,5,2,5,0,0.775071484076463,1,1,1,1,1,1,1,1,1,1,NA
"769",3,5,1,3,1,3,1,1,3,1,5,3,4,3,1,1,NA,NA,NA,2,2,NA,1,1,0,1,1,80,3,4,3,6,0,0.713680083584822,1,0,0,0,0,0,1,0,0,1,1
"770",3,5,3,3,3,3,3,3,3,1,3,3,1,3,3,1,1,NA,1,2,2,4,0,7,0,3,0,43,20,5,2,3,0,1.33131099512729,0,0,0,0,0,0,1,0,1,1,5
"771",6,5,1,1,1,3,1,2,3,2,3,1,1,3,2,1,1,NA,NA,4,2,4,1,6,0,12,0,48,10,5,3,4,0,0.919830408760329,1,1,0,0,0,1,1,1,1,0,3
"772",3,5,2,1,1,3,1,1,5,2,3,5,1,5,3,1,1,NA,1,3,1,3,1,2,1,12,0,51,15,5,2,4,0,0.919830408760329,0,1,0,0,0,0,0,1,1,0,4
"773",6,NA,1,3,1,1,1,2,3,2,3,2,7,3,0,NA,NA,NA,NA,2,2,NA,0,6,0,1,1,87,4,5,2,6,0,0.915558328479589,1,0,0,1,0,1,1,1,1,0,1
"774",6,5,1,1,1,1,2,1,3,2,5,2,2,3,1,1,NA,NA,NA,1,1,NA,0,1,0,1,1,89,8,5,2,6,0,0.743531152830054,1,1,0,1,1,0,1,1,0,0,2
"775",7,3,1,2,1,2,2,2,3,2,3,3,7,3,0,NA,NA,NA,NA,3,2,3,0,7,0,1,1,52,10,5,2,4,0,0.829843691106115,1,0,0,0,1,1,1,1,1,1,3
"776",7,3,1,1,NA,3,2,2,3,2,4,3,3,3,3,1,1,NA,1,4,3,3,1,3,1,3,0,49,22,5,2,4,0,0.919830408760329,1,1,NA,0,1,1,1,1,0,1,5
"777",8,5,1,1,2,3,1,2,3,2,3,3,2,3,2,1,NA,NA,1,2,1,NA,0,6,0,1,1,68,10,4,1,6,0,0.752643130937588,1,1,1,0,0,1,1,1,1,1,3
"778",4,5,1,2,1,1,2,1,4,2,1,5,2,4,0,NA,NA,NA,NA,2,2,NA,0,6,0,1,1,62,1,5,1,5,0,0.765687974011235,1,0,0,1,1,0,0,1,0,0,1
"779",7,5,1,1,2,2,1,2,3,2,3,5,7,3,0,NA,NA,NA,NA,1,1,1,1,6,0,3,0,79,13,5,2,6,0,0.705039816996184,1,1,1,0,0,1,1,1,1,0,4
"780",6,5,3,1,1,3,2,2,5,2,3,3,4,5,1,1,NA,NA,NA,1,1,3,1,5,0,8,0,59,12,4,2,5,0,0.726049617448173,0,1,0,0,1,1,0,1,1,1,3
"781",2,4,3,2,1,2,1,1,3,5,3,5,2,3,3,1,1,NA,1,2,2,NA,1,1,0,1,1,34,15,1,2,2,0,1.62526813399821,0,0,0,0,0,0,1,0,1,0,4
"782",7,5,1,2,2,3,1,2,3,2,3,3,1,3,4,1,1,1,1,1,2,2,1,5,0,1,1,42,8,1,1,3,0,1.26239130236428,1,0,1,0,0,1,1,1,1,1,2
"783",3,4,3,1,3,3,1,1,5,2,3,5,1,5,3,1,1,NA,1,4,2,2,1,7,0,1,1,48,17,2,3,4,0,1.13264708321077,0,1,0,0,0,0,0,1,1,0,4
"784",9,5,1,1,2,1,2,2,3,2,3,1,3,3,2,1,NA,NA,1,1,1,1,0,6,0,1,1,70,6,4,1,6,0,0.743531152830054,1,1,1,1,1,1,1,1,1,0,2
"785",9,5,1,2,2,1,2,2,3,2,3,3,4,3,0,NA,NA,NA,NA,3,1,1,0,3,1,2,0,67,13,4,1,6,0,0.752643130937588,1,0,1,1,1,1,1,1,1,1,4
"786",7,5,1,2,2,3,2,2,4,2,3,3,4,4,0,NA,NA,NA,NA,2,2,1,0,5,0,12,0,59,1,3,1,5,0,0.655020413253552,1,0,1,0,1,1,0,1,1,1,1
"787",2,5,1,NA,1,2,1,1,2,5,3,5,7,2,0,NA,NA,NA,NA,2,3,2,0,6,0,1,1,70,2,1,2,6,0,0.743531152830054,1,NA,0,0,0,0,0,0,1,0,1
"788",6,5,1,3,3,3,2,2,3,5,3,3,1,3,1,1,NA,NA,NA,3,2,2,1,1,0,1,1,70,13,1,1,6,0,0.705039816996184,1,0,0,0,1,1,1,0,1,1,4
